attack,base_total,defense,experience_growth,hp,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary
65,440,95,1000000,55,Seadra,117,95,45,85,water,water,1,0
67,320,60,1000000,45,Goldeen,118,35,50,63,water,water,1,0
92,450,65,1000000,80,Seaking,119,65,80,68,water,water,1,0
45,340,55,1250000,30,Staryu,120,70,55,85,water,water,1,0
75,520,85,1250000,60,Starmie,121,100,85,115,water,psychic,1,0
45,460,65,1000000,40,Mr. Mime,122,100,120,90,psychic,fairy,1,0
110,500,80,1000000,70,Scyther,123,55,80,105,bug,flying,1,0
50,455,35,1000000,65,Jynx,124,115,95,95,ice,psychic,1,0
83,490,57,1000000,65,Electabuzz,125,95,85,105,electric,electric,1,0
95,495,57,1000000,65,Magmar,126,100,85,93,fire,fire,1,0
155,600,120,1250000,65,Pinsir,127,65,90,105,bug,bug,1,0
100,490,95,1250000,75,Tauros,128,40,70,110,normal,normal,1,0
10,200,55,1250000,20,Magikarp,129,15,20,80,water,water,1,0
155,640,109,1250000,95,Gyarados,130,70,130,81,water,flying,1,0
85,535,80,1250000,130,Lapras,131,85,95,60,water,ice,1,0
48,288,48,1000000,48,Ditto,132,48,48,48,normal,normal,1,0
55,325,50,1000000,55,Eevee,133,45,65,55,normal,normal,1,0
65,525,60,1000000,130,Vaporeon,134,110,95,65,water,water,1,0
65,525,60,1000000,65,Jolteon,135,110,95,130,electric,electric,1,0
130,525,60,1000000,65,Flareon,136,95,110,65,fire,fire,1,0
60,395,70,1000000,65,Porygon,137,85,75,40,normal,normal,1,0
40,355,100,1000000,35,Omanyte,138,90,55,35,rock,water,1,0
60,495,125,1000000,70,Omastar,139,115,70,55,rock,water,1,0
80,355,90,1000000,30,Kabuto,140,55,45,55,rock,water,1,0
115,495,105,1000000,60,Kabutops,141,65,70,80,rock,water,1,0
135,615,85,1250000,80,Aerodactyl,142,70,95,150,rock,flying,1,0
110,540,65,1250000,160,Snorlax,143,65,110,30,normal,normal,1,0
85,580,100,1250000,90,Articuno,144,95,125,85,ice,flying,1,1
90,580,85,1250000,90,Zapdos,145,125,90,100,electric,flying,1,1
100,580,90,1250000,90,Moltres,146,125,85,90,fire,flying,1,1
64,300,45,1250000,41,Dratini,147,50,50,50,dragon,dragon,1,0
84,420,65,1250000,61,Dragonair,148,70,70,70,dragon,dragon,1,0
134,600,95,1250000,91,Dragonite,149,100,100,80,dragon,flying,1,0
150,780,70,1250000,106,Mewtwo,150,194,120,140,psychic,psychic,1,1
100,600,100,1059860,100,Mew,151,100,100,100,psychic,psychic,1,1
49,318,65,1059860,45,Chikorita,152,49,65,45,grass,grass,2,0
62,405,80,1059860,60,Bayleef,153,63,80,60,grass,grass,2,0
82,525,100,1059860,80,Meganium,154,83,100,80,grass,grass,2,0
52,309,43,1059860,39,Cyndaquil,155,60,50,65,fire,fire,2,0
64,405,58,1059860,58,Quilava,156,80,65,80,fire,fire,2,0
84,534,78,1059860,78,Typhlosion,157,109,85,100,fire,fire,2,0
65,314,64,1059860,50,Totodile,158,44,48,43,water,water,2,0
80,405,80,1059860,65,Croconaw,159,59,63,58,water,water,2,0
105,530,100,1059860,85,Feraligatr,160,79,83,78,water,water,2,0
46,215,34,1000000,35,Sentret,161,35,45,20,normal,normal,2,0
76,415,64,1000000,85,Furret,162,45,55,90,normal,normal,2,0
30,262,30,1000000,60,Hoothoot,163,36,56,50,normal,flying,2,0
50,452,50,1000000,100,Noctowl,164,86,96,70,normal,flying,2,0
20,265,30,800000,40,Ledyba,165,40,80,55,bug,flying,2,0
35,390,50,800000,55,Ledian,166,55,110,85,bug,flying,2,0
60,250,40,800000,40,Spinarak,167,40,40,30,bug,poison,2,0
90,400,70,800000,70,Ariados,168,60,70,40,bug,poison,2,0
90,535,80,1000000,85,Crobat,169,70,80,130,poison,flying,2,0
38,330,38,1250000,75,Chinchou,170,56,56,67,water,electric,2,0
58,460,58,1250000,125,Lanturn,171,76,76,67,water,electric,2,0
40,205,15,1000000,20,Pichu,172,35,35,60,electric,electric,2,0
25,218,28,800000,50,Cleffa,173,45,55,15,fairy,fairy,2,0
30,210,15,800000,90,Igglybuff,174,40,20,15,normal,fairy,2,0
20,245,65,800000,35,Togepi,175,40,65,20,fairy,fairy,2,0
40,405,85,800000,55,Togetic,176,80,105,40,fairy,flying,2,0
50,320,45,1000000,40,Natu,177,70,45,70,psychic,flying,2,0
75,470,70,1000000,65,Xatu,178,95,70,95,psychic,flying,2,0
40,280,40,1059860,55,Mareep,179,65,45,35,electric,electric,2,0
55,365,55,1059860,70,Flaaffy,180,80,60,45,electric,electric,2,0
95,610,105,1059860,90,Ampharos,181,165,110,45,electric,electric,2,0
80,490,95,1059860,75,Bellossom,182,90,100,50,grass,grass,2,0
20,250,50,800000,70,Marill,183,20,50,40,water,fairy,2,0
50,420,80,800000,100,Azumarill,184,60,80,50,water,fairy,2,0
100,410,115,1000000,70,Sudowoodo,185,30,65,30,rock,rock,2,0
75,500,75,1059860,90,Politoed,186,90,100,70,water,water,2,0
35,250,40,1059860,35,Hoppip,187,35,55,50,grass,flying,2,0
45,340,50,1059860,55,Skiploom,188,45,65,80,grass,flying,2,0
55,460,70,1059860,75,Jumpluff,189,55,95,110,grass,flying,2,0
70,360,55,800000,55,Aipom,190,40,55,85,normal,normal,2,0
30,180,30,1059860,30,Sunkern,191,30,30,30,grass,grass,2,0
75,425,55,1059860,75,Sunflora,192,105,85,30,grass,grass,2,0
65,390,45,1000000,65,Yanma,193,75,45,95,bug,flying,2,0
45,210,45,1000000,55,Wooper,194,25,25,15,water,ground,2,0
85,430,85,1000000,95,Quagsire,195,65,65,35,water,ground,2,0
65,525,60,1000000,65,Espeon,196,130,95,110,psychic,psychic,2,0
65,525,110,1000000,95,Umbreon,197,60,130,65,dark,dark,2,0
85,405,42,1059860,60,Murkrow,198,85,42,91,dark,flying,2,0
75,490,80,1000000,95,Slowking,199,100,110,30,water,psychic,2,0
60,435,60,800000,60,Misdreavus,200,85,85,85,ghost,ghost,2,0
72,336,48,1000000,48,Unown,201,72,48,48,psychic,psychic,2,0
33,405,58,1000000,190,Wobbuffet,202,33,58,33,psychic,psychic,2,0
80,455,65,1000000,70,Girafarig,203,90,65,85,normal,psychic,2,0
65,290,90,1000000,50,Pineco,204,35,35,15,bug,bug,2,0
90,465,140,1000000,75,Forretress,205,60,60,40,bug,steel,2,0
70,415,70,1000000,100,Dunsparce,206,65,65,45,normal,normal,2,0
75,430,105,1059860,65,Gligar,207,35,65,85,ground,flying,2,0
125,610,230,1000000,75,Steelix,208,55,95,30,steel,ground,2,0
80,300,50,800000,60,Snubbull,209,40,40,30,fairy,fairy,2,0
120,450,75,800000,90,Granbull,210,60,60,45,fairy,fairy,2,0
95,440,85,1000000,65,Qwilfish,211,55,55,85,water,poison,2,0
150,600,140,1000000,70,Scizor,212,65,100,75,bug,steel,2,0
10,505,230,1059860,20,Shuckle,213,10,230,5,bug,rock,2,0
185,600,115,1250000,80,Heracross,214,40,105,75,bug,fighting,2,0
95,430,55,1059860,55,Sneasel,215,35,75,115,dark,ice,2,0
80,330,50,1000000,60,Teddiursa,216,50,50,40,normal,normal,2,0
130,500,75,1000000,90,Ursaring,217,75,75,55,normal,normal,2,0
40,250,40,1000000,40,Slugma,218,70,40,20,fire,fire,2,0
50,430,120,1000000,60,Magcargo,219,90,80,30,fire,rock,2,0
50,250,40,1250000,50,Swinub,220,30,30,50,ice,ground,2,0
100,450,80,1250000,100,Piloswine,221,60,60,50,ice,ground,2,0
55,410,95,800000,65,Corsola,222,65,95,35,water,rock,2,0
65,300,35,1000000,35,Remoraid,223,65,35,65,water,water,2,0
105,480,75,1000000,75,Octillery,224,105,75,45,water,water,2,0
55,330,45,800000,45,Delibird,225,65,45,75,ice,flying,2,0
40,485,70,1250000,85,Mantine,226,80,140,70,water,flying,2,0
80,465,140,1250000,65,Skarmory,227,40,70,70,steel,flying,2,0
60,330,30,1250000,45,Houndour,228,80,50,65,dark,fire,2,0
90,600,90,1250000,75,Houndoom,229,140,90,115,dark,fire,2,0
95,540,95,1000000,75,Kingdra,230,95,95,85,water,dragon,2,0
60,330,60,1000000,90,Phanpy,231,40,40,40,ground,ground,2,0
120,500,120,1000000,90,Donphan,232,60,60,50,ground,ground,2,0
80,515,90,1000000,85,Porygon2,233,105,95,60,normal,normal,2,0
95,465,62,1250000,73,Stantler,234,85,65,85,normal,normal,2,0
20,250,35,800000,55,Smeargle,235,20,45,75,normal,normal,2,0
35,210,35,1000000,35,Tyrogue,236,35,35,35,fighting,fighting,2,0
95,455,95,1000000,50,Hitmontop,237,35,110,70,fighting,fighting,2,0
30,305,15,1000000,45,Smoochum,238,85,65,65,ice,psychic,2,0
63,360,37,1000000,45,Elekid,239,65,55,95,electric,electric,2,0
75,365,37,1000000,45,Magby,240,70,55,83,fire,fire,2,0
80,490,105,1250000,95,Miltank,241,40,70,100,normal,normal,2,0
10,540,10,800000,255,Blissey,242,75,135,55,normal,normal,2,0
85,580,75,1250000,90,Raikou,243,115,100,115,electric,electric,2,1
115,580,85,1250000,115,Entei,244,90,75,100,fire,fire,2,1
75,580,115,1250000,100,Suicune,245,90,115,85,water,water,2,1
64,300,50,1250000,50,Larvitar,246,45,50,41,rock,ground,2,0
84,410,70,1250000,70,Pupitar,247,65,70,51,rock,ground,2,0
164,700,150,1250000,100,Tyranitar,248,95,120,71,rock,dark,2,0
90,680,130,1250000,106,Lugia,249,90,154,110,psychic,flying,2,1
130,680,90,1250000,106,Ho-Oh,250,110,154,90,fire,flying,2,1
100,600,100,1059860,100,Celebi,251,100,100,100,psychic,grass,2,1
45,310,35,1059860,40,Treecko,252,65,55,70,grass,grass,3,0
65,405,45,1059860,50,Grovyle,253,85,65,95,grass,grass,3,0
110,630,75,1059860,70,Sceptile,254,145,85,145,grass,grass,3,0
60,310,40,1059860,45,Torchic,255,70,50,45,fire,fire,3,0
85,405,60,1059860,60,Combusken,256,85,60,55,fire,fighting,3,0
160,630,80,1059860,80,Blaziken,257,130,80,100,fire,fighting,3,0
70,310,50,1059860,50,Mudkip,258,50,50,40,water,water,3,0
85,405,70,1059860,70,Marshtomp,259,60,70,50,water,ground,3,0
150,635,110,1059860,100,Swampert,260,95,110,70,water,ground,3,0
55,220,35,1000000,35,Poochyena,261,30,30,35,dark,dark,3,0
90,420,70,1000000,70,Mightyena,262,60,60,70,dark,dark,3,0
30,240,41,1000000,38,Zigzagoon,263,30,41,60,normal,normal,3,0
70,420,61,1000000,78,Linoone,264,50,61,100,normal,normal,3,0
45,195,35,1000000,45,Wurmple,265,20,30,20,bug,bug,3,0
35,205,55,1000000,50,Silcoon,266,25,25,15,bug,bug,3,0
70,395,50,1000000,60,Beautifly,267,100,50,65,bug,flying,3,0
35,205,55,1000000,50,Cascoon,268,25,25,15,bug,bug,3,0
50,385,70,1000000,60,Dustox,269,50,90,65,bug,poison,3,0
30,220,30,1059860,40,Lotad,270,40,50,30,water,grass,3,0
50,340,50,1059860,60,Lombre,271,60,70,50,water,grass,3,0
70,480,70,1059860,80,Ludicolo,272,90,100,70,water,grass,3,0
40,220,50,1059860,40,Seedot,273,30,30,30,grass,grass,3,0
70,340,40,1059860,70,Nuzleaf,274,60,40,60,grass,dark,3,0
100,480,60,1059860,90,Shiftry,275,90,60,80,grass,dark,3,0
55,270,30,1059860,40,Taillow,276,30,30,85,normal,flying,3,0
85,455,60,1059860,60,Swellow,277,75,50,125,normal,flying,3,0
30,270,30,1000000,40,Wingull,278,55,30,85,water,flying,3,0
50,440,100,1000000,60,Pelipper,279,95,70,65,water,flying,3,0
25,198,25,1250000,28,Ralts,280,45,35,40,psychic,fairy,3,0
35,278,35,1250000,38,Kirlia,281,65,55,50,psychic,fairy,3,0
85,618,65,1250000,68,Gardevoir,282,165,135,100,psychic,fairy,3,0
30,269,32,1000000,40,Surskit,283,50,52,65,bug,water,3,0
60,454,62,1000000,70,Masquerain,284,100,82,80,bug,flying,3,0
40,295,60,1640000,60,Shroomish,285,40,60,35,grass,grass,3,0
130,460,80,1640000,60,Breloom,286,60,60,70,grass,fighting,3,0
60,280,60,1250000,60,Slakoth,287,35,35,30,normal,normal,3,0
80,440,80,1250000,80,Vigoroth,288,55,55,90,normal,normal,3,0
160,670,100,1250000,150,Slaking,289,95,65,100,normal,normal,3,0
45,266,90,600000,31,Nincada,290,30,30,40,bug,ground,3,0
90,456,45,600000,61,Ninjask,291,50,50,160,bug,flying,3,0
90,236,45,600000,1,Shedinja,292,30,30,40,bug,ghost,3,0
51,240,23,1059860,64,Whismur,293,51,23,28,normal,normal,3,0
71,360,43,1059860,84,Loudred,294,71,43,48,normal,normal,3,0
91,490,63,1059860,104,Exploud,295,91,73,68,normal,normal,3,0
60,237,30,1640000,72,Makuhita,296,20,30,25,fighting,fighting,3,0
120,474,60,1640000,144,Hariyama,297,40,60,50,fighting,fighting,3,0
20,190,40,800000,50,Azurill,298,20,40,20,normal,fairy,3,0
45,375,135,1000000,30,Nosepass,299,45,90,30,rock,rock,3,0
45,260,45,800000,50,Skitty,300,35,35,50,normal,normal,3,0
65,400,65,800000,70,Delcatty,301,55,55,90,normal,normal,3,0
85,480,125,1059860,50,Sableye,302,85,115,20,dark,ghost,3,0
105,480,125,800000,50,Mawile,303,55,95,50,steel,fairy,3,0
70,330,100,1250000,50,Aron,304,40,40,30,steel,rock,3,0
90,430,140,1250000,60,Lairon,305,50,50,40,steel,rock,3,0
140,630,230,1250000,70,Aggron,306,60,80,50,steel,rock,3,0
40,280,55,1000000,30,Meditite,307,40,55,60,fighting,psychic,3,0
100,510,85,1000000,60,Medicham,308,80,85,100,fighting,psychic,3,0
45,295,40,1250000,40,Electrike,309,65,40,65,electric,electric,3,0
75,575,80,1250000,70,Manectric,310,135,80,135,electric,electric,3,0
50,405,40,1000000,60,Plusle,311,85,75,95,electric,electric,3,0
40,405,50,1000000,60,Minun,312,75,85,95,electric,electric,3,0
73,430,75,600000,65,Volbeat,313,47,85,85,bug,bug,3,0
47,430,75,1640000,65,Illumise,314,73,85,85,bug,bug,3,0
60,400,45,1059860,50,Roselia,315,100,80,65,grass,poison,3,0
43,302,53,1640000,70,Gulpin,316,43,53,40,poison,poison,3,0
73,467,83,1640000,100,Swalot,317,73,83,55,poison,poison,3,0
90,305,20,1250000,45,Carvanha,318,65,20,65,water,dark,3,0
140,560,70,1250000,70,Sharpedo,319,110,65,105,water,dark,3,0
70,400,35,1640000,130,Wailmer,320,70,35,60,water,water,3,0
90,500,45,1640000,170,Wailord,321,90,45,60,water,water,3,0
60,305,40,1000000,60,Numel,322,65,45,35,fire,ground,3,0
120,560,100,1000000,70,Camerupt,323,145,105,20,fire,ground,3,0
85,470,140,1000000,70,Torkoal,324,85,70,20,fire,fire,3,0
25,330,35,800000,60,Spoink,325,70,80,60,psychic,psychic,3,0
45,470,65,800000,80,Grumpig,326,90,110,80,psychic,psychic,3,0
60,360,60,800000,60,Spinda,327,60,60,60,normal,normal,3,0
100,290,45,1059860,45,Trapinch,328,45,45,10,ground,ground,3,0
70,340,50,1059860,50,Vibrava,329,50,50,70,ground,dragon,3,0
100,520,80,1059860,80,Flygon,330,80,80,100,ground,dragon,3,0
85,335,40,1059860,50,Cacnea,331,85,40,35,grass,grass,3,0
115,475,60,1059860,70,Cacturne,332,115,60,55,grass,dark,3,0
40,310,60,600000,45,Swablu,333,40,75,50,normal,flying,3,0
110,590,110,600000,75,Altaria,334,110,105,80,dragon,flying,3,0
115,458,60,600000,73,Zangoose,335,60,60,90,normal,normal,3,0
100,458,60,1640000,73,Seviper,336,100,60,65,poison,poison,3,0
55,460,65,800000,90,Lunatone,337,95,85,70,rock,psychic,3,0
95,460,85,800000,90,Solrock,338,55,65,70,rock,psychic,3,0
48,288,43,1000000,50,Barboach,339,46,41,60,water,ground,3,0
78,468,73,1000000,110,Whiscash,340,76,71,60,water,ground,3,0
80,308,65,1640000,43,Corphish,341,50,35,35,water,water,3,0
120,468,85,1640000,63,Crawdaunt,342,90,55,55,water,dark,3,0
40,300,55,1000000,40,Baltoy,343,40,70,55,ground,psychic,3,0
70,500,105,1000000,60,Claydol,344,70,120,75,ground,psychic,3,0
41,355,77,600000,66,Lileep,345,61,87,23,rock,grass,3,0
81,495,97,600000,86,Cradily,346,81,107,43,rock,grass,3,0
95,355,50,600000,45,Anorith,347,40,50,75,rock,bug,3,0
125,495,100,600000,75,Armaldo,348,70,80,45,rock,bug,3,0
15,200,20,600000,20,Feebas,349,10,55,80,water,water,3,0
60,540,79,600000,95,Milotic,350,100,125,81,water,water,3,0
70,420,70,1000000,70,Castform,351,70,70,70,normal,normal,3,0
90,440,70,1059860,60,Kecleon,352,60,120,40,normal,normal,3,0
75,295,35,800000,44,Shuppet,353,63,33,45,ghost,ghost,3,0
165,555,75,800000,64,Banette,354,93,83,75,ghost,ghost,3,0
40,295,90,800000,20,Duskull,355,30,90,25,ghost,ghost,3,0
70,455,130,800000,40,Dusclops,356,60,130,25,ghost,ghost,3,0
68,460,83,1250000,99,Tropius,357,72,87,51,grass,flying,3,0
50,455,80,800000,75,Chimecho,358,95,90,65,psychic,psychic,3,0
150,565,60,1059860,65,Absol,359,115,60,115,dark,dark,3,0
23,260,48,1000000,95,Wynaut,360,23,48,23,psychic,psychic,3,0
50,300,50,1000000,50,Snorunt,361,50,50,50,ice,ice,3,0
120,580,80,1000000,80,Glalie,362,120,80,100,ice,ice,3,0
40,290,50,1059860,70,Spheal,363,55,50,25,ice,water,3,0
60,410,70,1059860,90,Sealeo,364,75,70,45,ice,water,3,0
80,530,90,1059860,110,Walrein,365,95,90,65,ice,water,3,0
64,345,85,600000,35,Clamperl,366,74,55,32,water,water,3,0
104,485,105,600000,55,Huntail,367,94,75,52,water,water,3,0
84,485,105,600000,55,Gorebyss,368,114,75,52,water,water,3,0
90,485,130,1250000,100,Relicanth,369,45,65,55,water,rock,3,0
30,330,55,800000,43,Luvdisc,370,40,65,97,water,water,3,0
75,300,60,1250000,45,Bagon,371,40,30,50,dragon,dragon,3,0
95,420,100,1250000,65,Shelgon,372,60,50,50,dragon,dragon,3,0
145,700,130,1250000,95,Salamence,373,120,90,120,dragon,flying,3,0
55,300,80,1250000,40,Beldum,374,35,60,30,steel,psychic,3,0
75,420,100,1250000,60,Metang,375,55,80,50,steel,psychic,3,0
145,700,150,1250000,80,Metagross,376,105,110,110,steel,psychic,3,0
100,580,200,1250000,80,Regirock,377,50,100,50,rock,rock,3,1
50,580,100,1250000,80,Regice,378,100,200,50,ice,ice,3,1
75,580,150,1250000,80,Registeel,379,75,150,50,steel,steel,3,1
100,700,120,1250000,80,Latias,380,140,150,110,dragon,psychic,3,1
130,700,100,1250000,80,Latios,381,160,120,110,dragon,psychic,3,1
150,770,90,1250000,100,Kyogre,382,180,160,90,water,water,3,1
180,770,160,1250000,100,Groudon,383,150,90,90,ground,ground,3,1
180,780,100,1250000,105,Rayquaza,384,180,100,115,dragon,flying,3,1
100,600,100,1250000,100,Jirachi,385,100,100,100,steel,psychic,3,1
95,600,90,1250000,50,Deoxys Normal,386,95,90,180,psychic,psychic,3,1
68,318,64,1059860,55,Turtwig,387,45,55,31,grass,grass,4,0
89,405,85,1059860,75,Grotle,388,55,65,36,grass,grass,4,0
109,525,105,1059860,95,Torterra,389,75,85,56,grass,ground,4,0
58,309,44,1059860,44,Chimchar,390,58,44,61,fire,fire,4,0
